Time, (DWRT AFR) Air Pump ON, (DWRT AFR) Air/Fuel Ratio 1, (DWRT AFR) Air/Fuel Ratio 2, (DWRT AFR) Sensor Heater ON 1, (DWRT AFR) Sensor Heater ON 2, (DWRT AFR) Sensor Ready 1, (DWRT AFR) Sensor Ready 2, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Ashcroft -14.7-45psi (Relative), (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (Gen) Sampling, 
0, , , , , , , , , , , ,3.988, , , , , ,538.48,538.48,538.48, , , , , , , , , , , , , , , , , , , 
0.05, , , , , , , , , , , ,3.993, , , , , ,539.258,539.258,539.258, , , , , , , , , , , , , , , , , , , 
0.1, , , , , , , , , , , ,3.999, , , , , ,540.037,540.037,540.037, , , , , , , ,47.74,47.74, , , , , , , , , , 
0.15,0,14.721, ,1,0,1,0, , , , ,4.005, , , , ,2.991,540.815,540.815,540.815, , , , , , , ,48.037,48.037, , , , , , , , ,1, 
0.2,0,14.855, ,1,0,1,0, , , , ,4.032,0.343, ,0.001,0.001,3.013,544.521,544.521,544.521, ,0,0,87.877,70.562,87.877,70.562,48.335,48.335, , ,152.465,122.416,152.465,122.416, ,0.343,1, 
0.25,0,15.182, ,1,0,1,0, , , , ,4.09,0.335, ,0.002,0.002,3.032,552.269,552.269,552.269, ,0,0,89.442,71.818,89.442,71.818,48.633,48.633,0.034,0.046,154.511,124.06,154.511,124.06,6.499,0.335,1, 
0.3,0,15.494, ,1,0,1,0, , , , ,4.148,0.328, ,0.003,0.003,3.052,560.017,560.017,560.017,62.444,0,0,91.007,73.074,91.007,73.074,48.873,48.873,0.034,0.046,156.558,125.704,156.558,125.704,6.489,0.328,1, 
0.35,0,15.669, ,1,0,1,0, , , , ,4.206,0.318, ,0.005,0.005,3.072,567.765,567.765,567.765,62.449,0,0,92.572,74.329,92.572,74.329,49.08,49.08,0.034,0.046,158.604,127.348,158.604,127.348,6.479,0.318,1, 
0.4,0,15.758, ,1,0,1,0, , , , ,4.255,0.309, ,0.005,0.005,3.086,574.431,574.431,574.431,62.455,0,0,94.066,75.528,94.066,75.528,49.288,49.288,0.034,0.046,160.448,128.828,160.448,128.828,6.469,0.309,1, 
0.45,0,15.772, ,1,0,1,0, , , , ,4.304,0.309, ,0.006,0.006,3.1,580.95,580.95,580.95,62.461,0,0,95.55,76.719,95.55,76.719,49.496,49.496,0.034,0.046,162.264,130.287,162.264,130.287,6.473,0.309,1, 
0.5,0,15.812, ,1,0,1,0, , , , ,4.353,0.309, ,0.007,0.007,3.113,587.469,587.469,587.469,62.466,0,0,97.034,77.91,97.034,77.91,49.714,49.714,0.034,0.046,164.08,131.745,164.08,131.745,6.519,0.309,1, 
0.55,0,15.872, ,1,0,1,0, ,24.45,80.82, ,4.405,0.312,1.245,0.007,0.007,3.127,594.464,594.464,594.464,62.472,0,0,98.617,79.181,98.617,79.181,49.933,49.933,0.034,0.046,166.026,133.307,166.026,133.307,6.565,0.312,1, 
0.6,0,15.841, ,1,0,1,0, ,24.45,80.816, ,4.462,0.314,1.245,0.008,0.008,3.141,602.173,602.173,602.173,62.478,0,0,100.349,80.572,100.349,80.572,50.151,50.151,0.034,0.046,168.165,135.025,168.165,135.025,6.611,0.314,1, 
0.65,0,15.832, ,1,0,1,0, ,24.45,80.812, ,4.52,0.311,1.245,0.009,0.009,3.155,609.882,609.882,609.882,62.483,0,0,102.08,81.963,102.08,81.963,50.375,50.375,0.034,0.046,170.305,136.743,170.305,136.743,6.657,0.311,1, 
0.7,0,15.828, ,1,0,1,0, ,24.45,80.807, ,4.578,0.309,1.245,0.009,0.009,3.17,617.592,617.592,617.592,62.487,0,0,103.811,83.354,103.811,83.354,50.603,50.603,0.034,0.046,172.444,138.461,172.444,138.461,6.692,0.309,1, 
0.75,0,15.752, ,1,0,1,0, ,24.45,80.803, ,4.633,0.309,1.245,0.01,0.01,3.184,625.032,625.032,625.032,62.492,0,0,105.551,84.752,105.551,84.752,50.831,50.831,0.034,0.046,174.539,140.143,174.539,140.143,6.728,0.309,1, 
0.8,0,15.685, ,1,0,1,0, ,24.45,80.799, ,4.688,0.309,1.245,0.011,0.011,3.198,632.461,632.461,632.461,62.493,0,0,107.293,86.15,107.293,86.15,51.061,51.061,0.034,0.046,176.633,141.824,176.633,141.824,6.764,0.309,1, 
0.85,0,15.65, ,1,0,1,0, ,24.45,80.795, ,4.744,0.314,1.245,0.012,0.012,3.212,639.89,639.89,639.89,62.484,0,0,109.034,87.548,109.034,87.548,51.296,51.296,0.034,0.046,178.726,143.504,178.726,143.504,6.796,0.314,1, 
0.9,0,15.613, ,1,0,1,0, ,24.45,80.79, ,4.795,0.319,1.245,0.012,0.012,3.226,646.778,646.778,646.778,62.475,0,0,110.716,88.898,110.716,88.898,51.531,51.531,0.034,0.046,180.661,145.057,180.661,145.057,6.805,0.319,1, 
0.95,0,15.567, ,1,0,1,0, ,24.45,80.786, ,4.844,0.331,1.245,0.013,0.013,3.241,653.275,653.275,653.275,62.466,0,0,112.356,90.215,112.356,90.215,51.766,51.766,0.034,0.046,182.482,146.518,182.482,146.518,6.815,0.331,1, 
1,0,15.506, ,1,0,1,0,15.819,24.45,80.782,81.028,4.892,0.344,1.245,0.014,0.014,3.256,659.772,659.772,659.772,62.469,0,0,113.996,91.531,113.996,91.531,52.01,52.01,0.034,0.046,184.303,147.979,184.303,147.979,6.824,0.344,1, 
1.05,0,15.498, ,1,0,1,0,15.818,24.45,80.778,81.026,4.942,0.349,1.245,0.014,0.014,3.272,666.427,666.427,666.427,62.474,0,0,115.678,92.881,115.678,92.881,52.253,52.253,0.034,0.046,186.151,149.463,186.151,149.463,6.827,0.349,1, 
1.1,0,15.492, ,1,0,1,0,15.817,24.45,80.774,81.023,4.995,0.354,1.245,0.015,0.015,3.289,673.533,673.533,673.533,62.478,0,0,117.48,94.328,117.48,94.328,52.497,52.497,0.034,0.046,188.08,151.011,188.08,151.011,6.785,0.354,1, 
1.15,0,15.496, ,1,0,1,0,15.816,24.45,80.769,81.02,5.048,0.354,1.245,0.016,0.016,3.306,680.638,680.638,680.638,62.491,0,0,119.282,95.774,119.282,95.774,52.748,52.748,0.034,0.046,190.008,152.56,190.008,152.56,6.743,0.354,1, 
1.2,0,15.473, ,1,0,1,0,15.815,24.45,80.765,81.018,5.101,0.354,1.245,0.017,0.017,3.323,687.743,687.743,687.743,62.51,0,0,121.084,97.221,121.084,97.221,53.002,53.002,0.034,0.046,191.936,154.109,191.936,154.109,6.701,0.354,1, 
1.25,0,15.45, ,1,0,1,0,15.814,24.45,80.761,81.015,5.161,0.345,1.245,0.018,0.018,3.339,695.76,695.76,695.76,62.528,0,0,123.107,98.845,123.107,98.845,53.257,53.257,0.034,0.046,194.133,155.872,194.133,155.872,6.662,0.345,1, 
1.3,0,15.362, ,1,0,1,0,15.812,24.45,80.757,81.012,5.221,0.335,1.245,0.019,0.019,3.356,703.796,703.796,703.796,62.542,0,0,125.135,100.472,125.135,100.472,53.515,53.515,0.034,0.046,196.335,157.639,196.335,157.639,6.683,0.335,1, 
1.35,0,15.324, ,1,0,1,0,15.811,24.45,80.753,81.01,5.281,0.329,1.245,0.019,0.019,3.372,711.831,711.831,711.831,62.548,0,0,127.163,102.099,127.163,102.099,53.779,53.779,0.034,0.046,198.537,159.406,198.537,159.406,6.704,0.329,1, 
1.4,0,15.195, ,1,0,1,0,15.81,24.45,80.748,81.007,5.34,0.324,1.245,0.02,0.02,3.389,719.777,719.777,719.777,62.555,0,0,129.224,103.753,129.224,103.753,54.043,54.043,0.034,0.046,200.728,161.166,200.728,161.166,6.725,0.324,1, 
1.45,0,15.157, ,1,0,1,0,15.809,24.45,80.744,81.004,5.399,0.32,1.245,0.021,0.021,3.406,727.693,727.693,727.693,62.561,0,0,131.295,105.415,131.295,105.415,54.308,54.308,0.034,0.046,202.917,162.924,202.917,162.924,6.747,0.32,1, 
1.5,0,15.09, ,1,0,1,0,15.808,24.45,80.74,81.002,5.458,0.315,1.245,0.022,0.022,3.423,735.61,735.61,735.61,62.567,0,0,133.365,107.077,133.365,107.077,54.579,54.579,0.034,0.046,205.106,164.682,205.106,164.682,6.812,0.315,1, 
1.55,0,15.051, ,1,0,1,0,15.807,24.45,80.736,80.999,5.515,0.314,1.245,0.022,0.022,3.443,743.199,743.199,743.199,62.574,0,0,135.415,108.722,135.415,108.722,54.849,54.849,0.034,0.046,207.2,166.364,207.2,166.364,6.876,0.314,1, 
1.6,0,14.991, ,1,0,1,0,15.806,24.45,80.731,80.996,5.569,0.314,1.245,0.023,0.023,3.465,750.55,750.55,750.55,62.58,0,0,137.448,110.355,137.448,110.355,55.12,55.12,0.034,0.046,209.226,167.993,209.226,167.993,6.941,0.314,1, 
1.65,0,14.977, ,1,0,1,0,15.804,24.45,80.727,80.994,5.624,0.314,1.245,0.024,0.024,3.482,757.9,757.9,757.9,62.586,0,0,139.482,111.988,139.482,111.988,55.401,55.401,0.034,0.046,211.251,169.621,211.251,169.621,7.005,0.314,1, 
1.7,0,14.88, ,1,0,1,0,15.803,24.45,80.723,80.991,5.677,0.314,1.245,0.025,0.025,3.5,764.96,764.96,764.96,62.593,0,0,141.49,113.601,141.49,113.601,55.681,55.681,0.034,0.046,213.196,171.183,213.196,171.183,7.028,0.314,1, 
1.75,0,14.834, ,1,0,1,0,15.802,24.45,80.719,80.988,5.727,0.312,1.245,0.025,0.025,3.519,771.678,771.678,771.678,62.599,0,0,143.469,115.19,143.469,115.19,55.962,55.962,0.034,0.046,215.047,172.669,215.047,172.669,7.05,0.312,1, 
1.8,0,14.806, ,1,0,1,0,15.801,24.45,80.715,80.986,5.777,0.31,1.245,0.026,0.026,3.537,778.395,778.395,778.395,62.606,0,0,145.448,116.78,145.448,116.78,56.249,56.249,0.034,0.046,216.898,174.154,216.898,174.154,7.071,0.31,1, 
1.85,0,14.73, ,1,0,1,0,15.8,24.45,80.71,80.983,5.826,0.307,1.245,0.027,0.027,3.555,785.039,785.039,785.039,62.612,0,0,147.434,118.375,147.434,118.375,56.536,56.536,0.034,0.046,218.727,175.622,218.727,175.622,7.092,0.307,1, 
1.9,0,14.667, ,1,0,1,0,15.799,24.45,80.71,80.98,5.875,0.305,1.245,0.028,0.028,3.574,791.562,791.562,791.562,62.619,0,0,149.43,119.98,149.43,119.98,56.824,56.824,0.034,0.046,220.521,177.063,220.521,177.063,7.075,0.305,1, 
1.95,0,14.638, ,1,0,1,0,15.798,24.45,80.71,80.977,5.924,0.302,1.245,0.029,0.029,3.593,798.085,798.085,798.085,62.626,0,0,151.427,121.586,151.427,121.586,57.118,57.118,0.034,0.046,222.316,178.504,222.316,178.504,7.051,0.302,1, 
2,0,14.601, ,1,0,1,0,15.796,24.45,80.71,80.975,5.971,0.3,1.245,0.029,0.029,3.611,804.504,804.504,804.504,62.632,0,0,153.424,123.191,153.424,123.191,57.413,57.413,0.034,0.046,224.08,179.921,224.08,179.921,7.028,0.3,1, 
