Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Distance 2, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) WB Volts Petrol AFR, (Gen) Sampling, (Gen) Sampling Duration, 
0, , , , , 2.358, , , , , , 315.23, 315.23, 315.23, , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , 2.859, , , , , , 381.292, 381.292, 381.292, , , , , , , , , , , , , , , , , 8.5, 8.5, 1, 0.023, 
0.1, , , , , 3.361, , , , , , 447.354, 447.354, 447.354, , , , , , , , , , , , , , , , , 8.5, 8.5, 1, 0.084, 
0.15, , , , , 3.862, , 0.001, 0.001, , 2.488, 513.416, 513.416, 513.416, 70.4, 0, 0, , , , , 35.346, 35.346, , , , , , , , 8.5, 8.5, 1, 0.159, 
0.2, , , , , 4.364, , 0.002, 0.002, , 2.512, 579.478, 579.478, 579.478, 70.4, 0, 0, , , , , 35.692, 35.692, , , , , , , , 8.5, 8.5, 1, 0.233, 
0.25, , , , , 4.805, , 0.003, 0.003, , 2.537, 637.557, 637.557, 637.557, 70.4, 0, 0, 75.47, 61.779, 75.47, 61.779, 36.037, 36.037, 0.024, 0.035, 154.939, 126.835, 154.939, 126.835, 16.147, 8.5, 8.5, 1, 0.309, 
0.3, , , , , 4.927, , 0.004, 0.004, , 2.561, 653.725, 653.725, 653.725, 70.4, 0, 0, 77.942, 63.802, 77.942, 63.802, 36.382, 36.382, 0.024, 0.035, 158.868, 130.051, 158.868, 130.051, 16.238, 8.5, 8.5, 1, 0.367, 
0.35, , 24.4, 61.02, , 5.05, 1.222, 0.005, 0.005, , 2.585, 669.894, 669.894, 669.894, 70.4, 0, 0, 80.413, 65.825, 80.413, 65.825, 36.727, 36.727, 0.024, 0.035, 162.797, 133.267, 162.797, 133.267, 16.329, 8.5, 8.5, 1, 0.417, 
0.4, , 24.4, 61.02, , 5.173, 1.222, 0.005, 0.005, , 2.605, 686.062, 686.062, 686.062, 70.4, 0, 0, 82.885, 67.849, 82.885, 67.849, 37.011, 37.011, 0.024, 0.035, 166.726, 136.483, 166.726, 136.483, 16.421, 8.5, 8.5, 1, 0.467, 
0.45, , 24.4, 61.02, , 5.295, 1.222, 0.006, 0.006, , 2.624, 702.231, 702.231, 702.231, 70.4, 0, 0, 85.356, 69.872, 85.356, 69.872, 37.275, 37.275, 0.024, 0.035, 170.655, 139.699, 170.655, 139.699, 16.443, 8.5, 8.5, 1, 0.517, 
